Date/Time;Radiated Energy (e10 J);Impact energy (kt);Velocity (km/s);Altitude (km);Longitude (deg.);Latitude (deg.);Latitude direction (East / West);Latitude direction (North / South);Geo point
2011-01-08T20:38:44+01:00;2.9;0.1;;48.0;125;33;W;N;33.3, 125.8
2010-12-26T00:24:00+01:00;2000.0;33.0;18;26.0;158;38;E;N;38.0, 158.0
2010-12-14T01:27:53+01:00;3.9;0.13;;24.0;175;4;E;S;4.9, 175.5
2010-12-01T07:31:46+01:00;13.3;0.39;;33.3;144;72;E;S;72.5, 144.9
2010-11-21T15:45:27+01:00;8.1;0.25;;50.0;143;1;E;N;1.9, 143.3
2010-11-10T09:26:35+01:00;6.8;0.22;;;77;74;W;N;74.5, 77.7
2010-08-17T06:19:37+02:00;2.1;0.076;;33.3;114;20;W;N;20.7, 114.3
2010-08-12T04:59:36+02:00;2.8;0.098;;;;;;;
2010-06-26T08:04:38+02:00;11.3;0.34;;50.0;133;0;E;S;0.5, 133.2
2010-06-17T06:24:45+02:00;11.9;0.35;;42.0;100;26;E;S;26.1, 100.0
2010-03-18T17:11:16+01:00;17.5;0.5;;;51;32;W;S;32.4, 51.8
2010-02-28T23:24:50+01:00;15.3;0.44;15;37.0;21;48;E;N;48.7, 21.0
2009-12-31T17:24:23+01:00;8.3;0.26;;;;;;;
2009-11-25T02:36:20+01:00;6.4;0.2;;;136;52;E;S;52.8, 136.5
2009-11-18T18:36:07+01:00;8.5;0.26;;;;;;;
2009-11-14T20:58:55+01:00;2.3;0.082;;;;;;;
2009-09-28T00:22:48+02:00;8.9;0.27;;37.0;67;36;W;S;36.0, 67.6
2009-09-04T04:23:18+02:00;96.5;2.3;24;28.3;110;42;E;N;42.5, 110.0
2009-08-23T23:17:19+02:00;28.0;0.75;12;34.0;18;67;E;S;67.7, 18.3
2009-07-31T04:13:19+02:00;2.5;0.089;;;121;8;W;N;8.9, 121.9
2009-06-27T15:08:05+02:00;3.2;0.11;15;26.1;12;26;W;S;26.6, 12.6
2009-06-20T13:04:41+02:00;2.7;0.095;;;;;;;
2009-05-31T08:05:47+02:00;14.3;0.42;;;121;19;W;N;19.7, 121.0
2009-05-04T13:39:03+02:00;14.0;0.41;;40.7;160;36;W;N;36.4, 160.4
2009-04-10T20:42:45+02:00;27.0;0.73;19;32.4;25;44;E;S;44.7, 25.7
2009-03-04T01:38:05+01:00;17.0;0.48;;;;;;;
2009-01-10T08:42:39+01:00;2.3;0.082;;26.5;122;64;E;S;64.0, 122.8
2008-12-24T16:51:58+01:00;3.5;0.12;24;21.1;102;68;W;S;68.9, 102.0
2008-11-21T01:26:44+01:00;14.2;0.41;12;28.2;109;53;W;N;53.1, 109.9
2008-11-09T03:38:34+01:00;22.2;0.61;;29.6;112;14;E;N;14.5, 112.7
2008-10-21T04:20:25+02:00;4.6;0.15;11;29.6;165;32;W;N;32.8, 165.6
2008-10-07T04:45:45+02:00;39.5;1.0;13;38.9;31;20;E;N;20.9, 31.4
2008-08-16T16:40:24+02:00;13.1;0.38;;;97;11;E;N;11.3, 97.2
2008-07-23T16:45:25+02:00;12.1;0.36;14;31.5;68;38;E;N;38.6, 68.0
2008-07-11T16:35:28+02:00;5.2;0.17;;;;;;;
2008-07-01T19:40:19+02:00;3.6;0.12;9;36.1;115;37;W;N;37.1, 115.7
2008-04-07T03:22:28+02:00;2.1;0.076;;;58;31;W;S;31.8, 58.5
2008-04-06T18:03:34+02:00;7.7;0.24;;;;;;;
2008-02-17T13:19:16+01:00;11.0;0.33;13;40.4;73;74;W;N;74.9, 73.4
2007-10-12T11:14:03+02:00;3.3;0.11;18;37.0;116;88;E;N;88.5, 116.6
2007-10-07T15:31:01+02:00;5.8;0.19;;;125;35;E;S;35.2, 125.6
2007-09-22T19:57:12+02:00;23.7;0.65;16;30.2;85;49;W;S;49.2, 85.5
2007-06-11T11:47:05+02:00;4.9;0.16;17;35.2;170;23;W;S;23.4, 170.9
2007-03-07T16:16:49+01:00;2.7;0.095;;;;;;;
2006-12-01T07:09:25+01:00;6.3;0.2;;;30;13;E;S;13.0, 30.7
2006-10-24T10:42:52+02:00;22.5;0.62;;43.0;2;1;W;S;1.9, 2.7
2006-10-14T20:10:49+02:00;25.8;0.7;23;44.4;175;49;W;N;49.4, 175.0
2006-08-18T02:03:18+02:00;3.2;0.11;;47.2;33;43;E;S;43.0, 33.4
2006-08-17T12:43:34+02:00;25.6;0.7;;48.2;165;11;E;S;11.0, 165.7
2006-07-15T17:22:49+02:00;16.3;0.47;30;38.9;45;31;E;N;31.1, 45.6
2006-06-07T02:06:28+02:00;5.9;0.19;19;40.7;22;69;E;N;69.2, 22.5
2006-05-07T19:45:14+02:00;3.0;0.1;;;;;;;
2006-03-14T04:21:06+01:00;14.4;0.42;;35.2;64;7;W;N;7.0, 64.6
2006-02-26T08:30:06+01:00;7.0;0.22;;;;;;;
2006-01-28T04:33:48+01:00;74.0;1.8;18;37.0;56;51;E;S;51.7, 56.4
2006-01-27T02:27:42+01:00;4.5;0.15;;20.0;74;58;E;N;58.7, 74.7
2006-01-26T01:00:53+01:00;5.3;0.17;;37.0;111;79;W;S;79.8, 111.0
2006-01-11T00:25:28+01:00;2.8;0.098;16;32.4;12;29;W;N;29.8, 12.7
2005-12-03T13:45:49+01:00;8.8;0.27;17;32.2;117;33;E;S;33.8, 117.4
2005-11-15T06:19:07+01:00;2.5;0.089;;32.4;113;26;W;N;26.3, 113.4
2005-11-09T08:33:08+01:00;7.3;0.23;13;30.7;145;31;E;S;31.0, 145.9
2005-09-30T21:04:06+02:00;2.2;0.079;;53.0;84;2;W;S;2.8, 84.1
2005-08-09T16:35:45+02:00;2.5;0.089;16;37.0;56;21;E;S;21.5, 56.2
2005-07-02T00:36:15+02:00;3.1;0.11;;50.0;33;49;E;S;49.8, 33.1
2005-06-18T21:40:41+02:00;2.3;0.082;;;85;47;E;N;47.9, 85.6
2005-06-05T03:56:09+02:00;4.1;0.14;;;90;34;E;N;34.8, 90.9
2005-04-19T09:37:47+02:00;23.2;0.64;16;38.5;146;50;W;S;50.2, 146.4
2005-04-16T12:40:38+02:00;2.0;0.073;;;;;;;
2005-04-03T00:52:25+02:00;20.4;0.57;;27.2;169;14;E;N;14.1, 169.7
2005-03-12T23:16:31+01:00;2.2;0.079;;;;;;;
2005-03-09T13:49:08+01:00;4.0;0.13;;30.7;142;14;E;N;14.3, 142.7
2005-03-06T18:32:51+01:00;5.5;0.18;;;;;;;
2005-02-22T23:51:06+01:00;4.1;0.14;;;;;;;
2005-01-03T00:09:51+01:00;11.9;0.35;21;35.2;154;21;E;S;21.3, 154.7
2004-12-29T08:11:45+01:00;9.0;0.28;;;171;8;E;S;8.5, 171.8
2004-12-13T12:35:55+01:00;3.9;0.13;;;155;9;E;S;9.7, 155.3
2004-12-11T16:36:51+01:00;3.0;0.1;;;104;36;E;N;36.0, 104.1
2004-09-28T10:57:28+02:00;6.2;0.2;;;101;0;W;N;0.2, 101.1
2004-07-25T07:29:13+02:00;19.7;0.55;;;;;;;
2004-06-03T11:40:12+02:00;5.4;0.18;;;120;48;W;N;48.9, 120.4
2004-05-17T04:08:27+02:00;5.5;0.18;;44.0;28;18;E;S;18.9, 28.3
2004-04-22T23:19:55+02:00;13.9;0.41;;;55;15;E;S;15.2, 55.1
2004-04-22T06:21:49+02:00;62.4;1.5;16;29.6;83;44;E;S;44.3, 83.3
2004-02-27T02:18:54+01:00;6.0;0.19;;;;;;;
2003-11-10T14:54:06+01:00;51.8;1.3;20;23.0;136;64;E;S;64.5, 136.2
2003-10-16T02:47:28+02:00;28.5;0.77;;;;;;;
2003-10-07T02:23:56+02:00;3.7;0.13;;;;;;;
2003-09-20T21:04:01+02:00;3.0;0.1;;;;;;;
2003-08-27T00:08:45+02:00;7.2;0.23;;;;;;;
2003-08-17T15:16:07+02:00;64.7;1.6;;;34;39;E;S;39.0, 34.0
2003-08-01T06:09:32+02:00;2.1;0.076;;;;;;;
2003-06-21T16:49:57+02:00;3.8;0.13;;;;;;;
2003-06-16T19:17:19+02:00;6.5;0.21;;;;;;;
2003-05-18T09:51:40+02:00;2.1;0.076;;;;;;;
2003-04-28T15:06:46+02:00;2.3;0.082;;;;;;;
2003-04-13T19:58:41+02:00;17.5;0.5;;17.0;64;14;E;N;14.8, 64.5
2003-04-07T11:25:28+02:00;2.2;0.079;;;162;18;E;S;18.4, 162.6
2003-02-26T00:13:28+01:00;3.3;0.11;;;116;40;E;N;40.0, 116.0
2003-02-12T03:37:54+01:00;12.0;0.36;;;107;31;E;S;31.5, 107.5
2003-02-05T07:16:27+01:00;10.3;0.31;;;;;;;
2002-11-28T16:41:53+01:00;4.6;0.15;;;;;;;
2002-11-12T22:49:56+01:00;4.3;0.14;;;6;21;W;S;21.1, 6.8
2002-09-24T18:48:57+02:00;86.0;2.0;;;112;57;E;N;57.9, 112.9
2002-08-11T22:42:53+02:00;151.0;3.3;;;159;18;E;S;18.2, 159.4
2002-08-10T20:01:51+02:00;2.5;0.089;;;;;;;
2002-06-13T17:29:38+02:00;19.1;0.54;;;111;24;E;S;24.9, 111.4
2002-06-02T06:28:20+02:00;450.0;8.8;;;21;34;E;N;34.0, 21.0
2002-04-02T04:36:28+02:00;3.2;0.11;;;;;;;
2002-03-19T06:56:10+01:00;8.3;0.26;;;;;;;
2002-03-01T04:53:59+01:00;3.8;0.13;;;66;29;W;N;29.2, 66.8
2002-02-09T20:50:26+01:00;7.0;0.22;;;138;17;E;S;17.7, 138.7
2002-01-20T17:42:04+01:00;10.4;0.31;;;165;48;W;N;48.4, 165.0
2001-11-26T07:51:52+01:00;19.2;0.54;;;;;;;
2001-11-11T13:14:02+01:00;13.0;0.38;;;;;;;
2001-10-27T21:20:12+02:00;3.6;0.12;;;3;52;E;N;52.7, 3.8
2001-04-27T11:46:18+02:00;13.0;0.38;;;;;;;
2001-04-23T08:12:35+02:00;460.0;9.0;;29.0;133;28;W;N;28.0, 133.6
2001-02-09T22:27:55+01:00;10.8;0.32;;;;;;;
2000-12-15T04:46:27+01:00;2.7;0.095;;;58;50;E;N;50.4, 58.9
2000-11-28T13:20:13+01:00;11.9;0.35;;;;;;;
2000-11-06T08:18:57+01:00;6.9;0.22;;;22;52;W;S;52.0, 22.2
2000-09-23T06:00:45+02:00;2.2;0.079;;;142;58;E;S;58.5, 142.6
2000-08-25T03:12:25+02:00;138.5;3.1;;;106;14;W;N;14.5, 106.1
2000-08-13T05:00:32+02:00;6.5;0.21;;;127;36;W;N;36.7, 127.8
2000-08-01T18:48:27+02:00;18.2;0.51;;;101;50;W;S;50.2, 101.9
2000-07-19T19:40:25+02:00;10.7;0.32;;;94;17;E;S;17.7, 94.1
2000-07-07T03:34:20+02:00;6.5;0.21;;;140;15;E;N;15.0, 140.7
2000-06-27T12:06:51+02:00;2.7;0.095;;;36;34;E;N;34.9, 36.8
2000-06-18T15:40:02+02:00;13.3;0.39;;;;;;;
2000-06-02T20:44:16+02:00;3.0;0.1;;;18;27;W;S;27.5, 18.9
2000-05-06T13:51:52+02:00;2.8;0.098;;;18;49;E;N;49.9, 18.4
2000-03-19T06:11:50+01:00;4.9;0.16;;;;;;;
2000-02-17T15:22:07+01:00;2.2;0.079;;;115;14;E;N;14.2, 115.9
2000-01-18T17:43:42+01:00;105.0;2.4;;;134;60;W;N;60.3, 134.6
2000-01-18T09:33:58+01:00;3.5;0.12;;;94;24;W;N;24.3, 94.9
1999-12-16T01:07:22+01:00;6.7;0.21;;;11;26;W;S;26.5, 11.3
1999-11-15T21:01:28+01:00;7.4;0.23;;;75;8;E;S;8.1, 75.4
1999-09-09T01:55:35+02:00;2.8;0.098;;;0;22;E;N;22.4, 0.2
1999-09-08T16:41:53+02:00;9.0;0.28;;32.0;104;32;E;N;32.5, 104.6
1999-08-03T20:25:49+02:00;35.6;0.93;;;18;64;W;S;64.7, 18.8
1999-07-10T10:11:42+02:00;32.6;0.86;;52.0;39;37;E;S;37.8, 39.6
1999-07-07T06:14:41+02:00;14.0;0.41;;;174;39;E;S;39.5, 174.4
1999-04-01T01:54:35+02:00;23.4;0.64;;;22;17;E;S;17.9, 22.6
1999-03-02T23:23:25+01:00;5.9;0.19;;;50;18;E;N;18.9, 50.5
1999-01-12T20:24:52+01:00;4.3;0.14;;;;;;;
1999-01-11T06:18:17+01:00;2.4;0.086;;;;;;;
1999-01-02T19:25:51+01:00;3.5;0.12;;65.0;103;47;E;N;47.0, 103.0
1998-11-11T17:46:18+01:00;65.6;1.6;;;156;6;E;N;6.5, 156.4
1998-03-22T23:25:37+01:00;14.0;0.41;;;26;1;E;N;1.4, 26.6
1998-01-05T00:00:27+01:00;7.4;0.23;17;30.0;33;35;E;S;35.1, 33.4
1997-12-28T04:58:18+01:00;3.1;0.11;;;152;23;E;S;23.1, 152.4
1997-09-05T13:41:54+02:00;19.0;0.53;;;56;31;E;S;31.1, 56.4
1997-02-19T05:31:35+01:00;14.0;0.41;;;87;16;W;S;16.3, 87.7
1997-02-15T16:23:35+01:00;15.0;0.43;;;115;35;E;N;35.5, 115.6
1997-01-03T16:08:07+01:00;35.0;0.92;;;;;;;
1996-12-01T14:19:35+01:00;6.2;0.2;;;;;;;
1996-10-30T13:48:19+01:00;2.1;0.076;;;123;2;W;S;2.1, 123.1
1996-10-05T21:21:02+02:00;25.0;0.68;;;145;49;E;S;49.6, 145.9
1996-08-17T17:46:08+02:00;3.4;0.12;;;;;;;
1996-08-09T20:14:56+02:00;3.0;0.1;;;;;;;
1996-08-06T06:50:32+02:00;13.0;0.38;;;;;;;
1996-08-05T21:27:52+02:00;22.0;0.61;;;;;;;
1996-08-05T17:19:30+02:00;8.0;0.25;;;;;;;
1996-03-29T21:30:54+01:00;12.8;0.38;;;158;21;W;N;21.5, 158.1
1996-03-25T18:00:41+01:00;4.4;0.15;;;;;;;
1996-01-15T14:44:23+01:00;26.0;0.71;;;175;59;E;S;59.8, 175.8
1995-09-09T09:38:38+02:00;50.0;1.3;;;;;;;
1995-08-24T23:54:35+02:00;12.0;0.36;;;;;;;
1995-07-11T20:38:41+02:00;13.0;0.38;;;93;28;E;S;28.5, 93.3
1995-07-07T19:33:37+02:00;14.0;0.41;;;76;40;W;N;40.2, 76.1
1995-01-02T21:41:38+01:00;3.0;0.1;;;;;;;
